id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,stop_duration,vehicle_type,drugs_related_stop,district
IL-2004-000001,IL,2004-01-01,00:02,ILLINOIS STATE POLICE 17,,,17,Illinois State Police,F,1963.0,41.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Olds 2000,,ILLINOIS STATE POLICE 17
IL-2004-000002,IL,2004-01-01,00:07,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1987.0,17.0,Caucasian,White,"Moving Violation,Traffic Sign or Signal",Safe movement,FALSE,,,FALSE,Written Warning,,,Linc 1990,,ILLINOIS STATE POLICE 07
IL-2004-000003,IL,2004-01-01,00:14,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1981.0,23.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Chev 1996,,ILLINOIS STATE POLICE 11
IL-2004-000004,IL,2004-01-01,00:15,ILLINOIS STATE POLICE 03,Cook County,17031,03,Illinois State Police,F,1972.0,32.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Buic 1992,,ILLINOIS STATE POLICE 03
IL-2004-000005,IL,2004-01-01,00:15,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,F,1980.0,24.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Olds 1996,,ILLINOIS STATE POLICE 09
IL-2004-000006,IL,2004-01-01,00:20,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,M,1954.0,50.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Ford 1991,,ILLINOIS STATE POLICE 09
IL-2004-000007,IL,2004-01-01,00:20,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,F,1973.0,31.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Pont 2000,,ILLINOIS STATE POLICE 08
IL-2004-000008,IL,2004-01-01,00:21,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1935.0,69.0,Hispanic,Hispanic,"Moving Violation,Other",Moving violation,TRUE,Incident to Arrest,Incident to Arrest,TRUE,Citation,,,Chev 1998,TRUE,ILLINOIS STATE POLICE 15
IL-2004-000009,IL,2004-01-01,00:23,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1985.0,19.0,Hispanic,Hispanic,"Moving Violation,Other",Moving violation,TRUE,Incident to Arrest,Incident to Arrest,FALSE,Citation,,,Hyun 2004,,ILLINOIS STATE POLICE 15
IL-2004-000010,IL,2004-01-01,00:24,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,F,1966.0,38.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Ford 2001,,ILLINOIS STATE POLICE 22
IL-2004-000011,IL,2004-01-01,00:25,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1984.0,20.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Mazd 1991,,ILLINOIS STATE POLICE 08
IL-2004-000012,IL,2004-01-01,00:25,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,F,1950.0,54.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Chev 1990,,ILLINOIS STATE POLICE 22
IL-2004-000013,IL,2004-01-01,00:27,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,F,1957.0,47.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Buic 1988,,ILLINOIS STATE POLICE 08
IL-2004-000014,IL,2004-01-01,00:30,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1959.0,45.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Chev 1993,,ILLINOIS STATE POLICE 11
IL-2004-000015,IL,2004-01-01,00:30,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,M,1974.0,30.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Toyt 1996,,ILLINOIS STATE POLICE 09
IL-2004-000016,IL,2004-01-01,00:30,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,M,1970.0,34.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Chev 1993,,ILLINOIS STATE POLICE 09
IL-2004-000017,IL,2004-01-01,00:34,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1957.0,47.0,African American,Black,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Suba 1998,,ILLINOIS STATE POLICE 11
IL-2004-000018,IL,2004-01-01,00:35,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1987.0,17.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Merc 1999,,ILLINOIS STATE POLICE 07
IL-2004-000019,IL,2004-01-01,00:35,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1985.0,19.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Chev 1984,,ILLINOIS STATE POLICE 08
IL-2004-000020,IL,2004-01-01,00:35,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1984.0,20.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Pont 1996,,ILLINOIS STATE POLICE 08
IL-2004-000021,IL,2004-01-01,00:35,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1962.0,42.0,Hispanic,Hispanic,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Ford 1989,,ILLINOIS STATE POLICE 08
IL-2004-000022,IL,2004-01-01,00:36,ILLINOIS STATE POLICE 05,,,05,Illinois State Police,M,1978.0,26.0,Caucasian,White,"Moving Violation,Other",Moving violation,TRUE,Custodial Arrest,Incident to Arrest,FALSE,Citation,,,Pont 1996,,ILLINOIS STATE POLICE 05
IL-2004-000023,IL,2004-01-01,00:42,ILLINOIS STATE POLICE 05,,,05,Illinois State Police,F,1980.0,24.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Chev 1997,,ILLINOIS STATE POLICE 05
IL-2004-000024,IL,2004-01-01,00:43,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,F,1985.0,19.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Ford 1998,,ILLINOIS STATE POLICE 08
IL-2004-000025,IL,2004-01-01,00:45,ILLINOIS STATE POLICE 02,,,02,Illinois State Police,M,1976.0,28.0,Hispanic,Hispanic,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Olds 1993,,ILLINOIS STATE POLICE 02
