id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,violations,officer_id,officer_gender,officer_race,highway_type,road_number,milepost,lat,lon,contact_type,enforcements,drugs_related_stop
WA-2009-0000001,WA,2009-01-01,00:00,Spokane,Spokane County,53063,S-002-280,,M,27.0,27.0,Other,Other,Other Def Equipment,Equipment,TRUE,No Search,,TRUE,Verbal Warning,,31,850,M,White,S,002,280,47.643152,-117.544585,Self-Initiated Contact,3,FALSE
WA-2009-0000002,WA,2009-01-01,00:00,,,,C-018-NA,,M,21.0,21.0,White,White,Speed - Radar,Speeding,FALSE,No Search,,FALSE,Verbal Warning,,6,610,F,White,C,018,,,,Self-Initiated Contact,3,FALSE
WA-2009-0000003,WA,2009-01-01,00:00,King,King County,53033,S-516-7,,F,17.0,17.0,Other,Other,Speed,Speeding,FALSE,No Search,,FALSE,Verbal Warning,,4,491,M,White,S,516,7,47.373378,-122.209356,Self-Initiated Contact,3,FALSE
WA-2009-0000004,WA,2009-01-01,00:00,King,King County,53033,S-515-2,,M,31.0,31.0,Asian,Asian,"Headlights - None,Insurance - None,License Susp/Rev 3rd Deg","License,Lights,Paperwork",TRUE,Incident to Arrest,Incident to Arrest,FALSE,Arrest or Citation,,"23,182,185",511,M,White,S,515,2,47.414073,-122.197144,Self-Initiated Contact,"1,1,1",FALSE
WA-2009-0000005,WA,2009-01-01,00:00,Kitsap,Kitsap County,53035,S-303-8,,F,24.0,24.0,White,White,Light Violations,Safe movement,FALSE,No Search,,FALSE,Verbal Warning,,"22,22",119,M,White,S,303,8,47.659471,-122.675907,Self-Initiated Contact,"3,3",FALSE
WA-2009-0000006,WA,2009-01-01,00:00,Pierce,Pierce County,53053,I-005-138,,M,36.0,36.0,White,White,"DUI - With test,License Susp/Rev 3rd Deg,Speed - Radar","DUI,License,Speeding",FALSE,No Search,,FALSE,Arrest or Citation,,"6,1,185",331,M,White,I,005,138,47.240716,-122.356301,Self-Initiated Contact,"1,1,1",FALSE
WA-2009-0000007,WA,2009-01-01,00:00,Benton,Benton County,53005,S-395-16,,M,26.0,26.0,White,White,Speed - Radar,Speeding,FALSE,No Search,,FALSE,Verbal Warning,,6,235,M,White,S,395,16,46.196569,-119.1606675,Self-Initiated Contact,3,FALSE
WA-2009-0000008,WA,2009-01-01,00:00,Thurston,Thurston County,53067,I-005-110,,M,61.0,61.0,White,White,"Lane Travel,Shoulder",Safe movement,FALSE,No Search,,FALSE,Verbal Warning,,"12,13",743,M,White,I,005,110,47.048975,-122.818612,Self-Initiated Contact,"3,3",FALSE
WA-2009-0000009,WA,2009-01-01,00:00,,,,C-017-991,,M,33.0,33.0,African American,Black,"Lane Travel,License Susp/Rev 3rd Deg,Signal","License,Safe movement",FALSE,No Search,,FALSE,Arrest or Citation,,"185,16,12",650,M,White,C,017,991,,,Self-Initiated Contact,"1,3,3",FALSE
WA-2009-0000010,WA,2009-01-01,00:00,Kitsap,Kitsap County,53035,S-303-1,,F,18.0,18.0,White,White,"Light Violations,Speed - Radar,Vehicle registration (paper)","Paperwork,Safe movement,Speeding",FALSE,No Search,,FALSE,Verbal Warning,,"6,22,152",342,M,White,S,303,1,47.610495,-122.628756,Self-Initiated Contact,"3,3,3",FALSE
WA-2009-0000011,WA,2009-01-01,00:00,Pierce,Pierce County,53053,S-016-8,,M,19.0,19.0,White,White,Lane Travel,Safe movement,FALSE,No Search,,FALSE,Verbal Warning,,12,29,M,White,S,016,8,47.282902,-122.560638,Self-Initiated Contact,3,FALSE
WA-2009-0000012,WA,2009-01-01,00:00,King,King County,53033,I-005-169,,F,50.0,50.0,White,White,"Headlights - None,Insurance - None","Lights,Paperwork",FALSE,No Search,,FALSE,Verbal Warning,,"23,182",758,M,White,I,005,169,47.619195,-122.328252,Self-Initiated Contact,"3,3",FALSE
WA-2009-0000013,WA,2009-01-01,00:00,Benton,Benton County,53005,S-240-40,,F,39.0,39.0,Hispanic,Hispanic,Turning,Safe movement,FALSE,No Search,,FALSE,Verbal Warning,,17,838,M,White,S,240,40,46.2303615,-119.2007445,Self-Initiated Contact,3,FALSE
WA-2009-0000014,WA,2009-01-01,00:00,Kitsap,Kitsap County,53035,S-303-8,,M,22.0,22.0,White,White,Light Violations,Safe movement,FALSE,No Search,,FALSE,Verbal Warning,,22,119,M,White,S,303,8,47.659471,-122.675907,Self-Initiated Contact,3,FALSE
WA-2009-0000015,WA,2009-01-01,00:00,King,King County,53033,I-005-169,,M,24.0,24.0,Pacific Islander,Asian,"Headlights - None,Right of way,Speed","Lights,Safe movement,Speeding",FALSE,No Search,,FALSE,Arrest or Citation,,"23,10,4",232,M,White,I,005,169,47.619195,-122.328252,Self-Initiated Contact,"1,1,3",FALSE
WA-2009-0000016,WA,2009-01-01,00:00,,,,C-032-NA,,F,60.0,60.0,White,White,Oper Licence - I,Paperwork,FALSE,No Search,,FALSE,Verbal Warning,,181,281,M,White,C,032,,,,Self-Initiated Contact,3,FALSE
WA-2009-0000017,WA,2009-01-01,00:00,Pierce,Pierce County,53053,I-005-137,,F,28.0,28.0,White,White,Speed,Speeding,FALSE,No Search,,FALSE,Arrest or Citation,,4,331,M,White,I,005,137,47.240716,-122.356301,Aggressive driving,1,FALSE
WA-2009-0000018,WA,2009-01-01,00:00,,,,C-027-NA,,M,28.0,28.0,African American,Black,"Light Violations,Safety Belt","Safe movement,Seat belt",FALSE,No Search,,FALSE,Arrest or Citation,,"174,22",24,M,White,C,027,,,,Self-Initiated Contact,"1,1",FALSE
WA-2009-0000019,WA,2009-01-01,00:00,Snohomish,Snohomish County,53061,S-002-2,,F,40.0,40.0,White,White,"DUI - With test,Lane Travel,Signal","DUI,Safe movement",TRUE,Incident to Arrest,Incident to Arrest,FALSE,Arrest or Citation,,"16,12,1",875,M,White,S,002,2,47.978414,-122.147555,Self-Initiated Contact,"3,3,1",FALSE
WA-2009-0000020,WA,2009-01-01,00:00,,,,C-031-NA,,M,33.0,33.0,White,White,"DUI - With test,Follow close,Lane Travel,Signal,Speed - Radar","DUI,Safe movement,Speeding",TRUE,Incident to Arrest,Incident to Arrest,FALSE,Arrest or Citation,,"6,9,12,16,1",203,M,White,C,031,,,,Aggressive driving,"1,3,3,3,1",FALSE
WA-2009-0000021,WA,2009-01-01,00:00,Snohomish,Snohomish County,53061,S-009-15,,M,18.0,18.0,White,White,Light Violations,Safe movement,FALSE,No Search,,FALSE,Verbal Warning,,22,361,M,White,S,009,15,47.991658,-122.104416,Self-Initiated Contact,3,FALSE
WA-2009-0000022,WA,2009-01-01,00:00,Kitsap,Kitsap County,53035,S-303-4,,M,59.0,59.0,White,White,Light Violations,Safe movement,FALSE,No Search,,FALSE,Verbal Warning,,22,278,M,White,S,303,4,47.624718,-122.628759,Self-Initiated Contact,3,FALSE
WA-2009-0000023,WA,2009-01-01,00:00,Island,Island County,53029,S-020-22,,M,52.0,52.0,White,White,Headlights - None,Lights,FALSE,No Search,,FALSE,Verbal Warning,,23,246,M,White,S,020,22,48.212277,-122.689119,Self-Initiated Contact,3,FALSE
WA-2009-0000024,WA,2009-01-01,00:00,Kitsap,Kitsap County,53035,S-003-34,,M,38.0,38.0,White,White,Light Violations,Safe movement,FALSE,No Search,,FALSE,Verbal Warning,,22,498,M,White,S,003,34,47.524101,-122.709618,Self-Initiated Contact,3,FALSE
WA-2009-0000025,WA,2009-01-01,00:00,Snohomish,Snohomish County,53061,I-005-206,,M,31.0,31.0,East Indian,Asian,Lane Travel,Safe movement,FALSE,No Search,,FALSE,Verbal Warning,,12,427,M,Black,I,005,206,48.152372,-122.18869,Self-Initiated Contact,3,FALSE
WA-2009-0000026,WA,2009-01-01,00:00,,,,C-015-NA,,F,19.0,19.0,White,White,Speed - Radar,Speeding,FALSE,No Search,,FALSE,Verbal Warning,,6,92,M,White,C,015,,,,Self-Initiated Contact,3,FALSE
